size,totalTime,partitionTime,distributionTime,stepTime,collectingRemoteTime,detectionTime,exchangingCommunitiesTime,collectingMissingTime,coarsenTime,foundCommunities,fileName,totalNodes,totalEdges
64,0.196173,0.0456195,0.00899434,0.140724,0.0600371,0.000710011,0.0388155,0.0310771,0.000657797,1233,Wiki-Vote.txt,7115,103689
64,0.156356,0.0452623,0.00915742,0.100434,0.0499032,0.000598907,0.0235963,0.0192621,0.000494719,1239,Wiki-Vote.txt,7115,103689
64,0.186932,0.0463858,0.00898957,0.130936,0.057574,0.00066328,0.0354431,0.0279436,0.000546217,1240,Wiki-Vote.txt,7115,103689
64,0.174679,0.045423,0.00911975,0.119242,0.0548432,0.000627518,0.0309801,0.0246077,0.000471354,1232,Wiki-Vote.txt,7115,103689
1,2.84018,0.0153906,0.00103354,2.81817,1.65007,1.11452,0.000426531,0.00469112,0.038245,31,p2p-Gnutella04.txt,10876,39994
1,2.83952,0.0171485,0.000943661,2.81665,1.64717,1.11551,0.000508785,0.00458431,0.0383835,32,p2p-Gnutella04.txt,10876,39994
1,2.8437,0.0149829,0.00102115,2.82491,1.65006,1.12012,0.000570297,0.00487685,0.0385215,31,p2p-Gnutella04.txt,10876,39994
2,1.08901,0.015589,0.00217128,1.06863,0.741096,0.280213,0.00675845,0.0117412,0.0196795,26,p2p-Gnutella04.txt,10876,39994
2,1.09914,0.0181351,0.00196338,1.07231,0.740481,0.283325,0.00644422,0.0126281,0.0201187,25,p2p-Gnutella04.txt,10876,39994
2,1.08911,0.0156813,0.00197887,1.06951,0.739375,0.283436,0.00607824,0.0113385,0.02003,28,p2p-Gnutella04.txt,10876,39994
2,1.09517,0.0172989,0.00195909,1.06545,0.735385,0.278945,0.00994825,0.011632,0.0202687,33,p2p-Gnutella04.txt,10876,39994
2,1.09447,0.0169737,0.00196815,1.07176,0.740659,0.281978,0.00668573,0.0126398,0.0204077,29,p2p-Gnutella04.txt,10876,39994
4,0.429939,0.0156827,0.00184655,0.410821,0.295862,0.0729518,0.00575614,0.0168645,0.0105119,26,p2p-Gnutella04.txt,10876,39994
4,0.448365,0.0162549,0.00212502,0.422032,0.303455,0.0724261,0.00821948,0.0186272,0.0104115,27,p2p-Gnutella04.txt,10876,39994
4,0.450303,0.0301495,0.00199533,0.416673,0.297881,0.0717614,0.0107772,0.0174894,0.0102713,26,p2p-Gnutella04.txt,10876,39994
4,0.434474,0.0153265,0.00193262,0.414391,0.298658,0.0716279,0.0071373,0.0182471,0.010299,28,p2p-Gnutella04.txt,10876,39994
4,0.435801,0.0165374,0.00195432,0.41476,0.298647,0.0723658,0.00708508,0.017869,0.0103095,23,p2p-Gnutella04.txt,10876,39994
8,0.219251,0.0166683,0.00256824,0.194852,0.135859,0.0195229,0.0084486,0.0167303,0.00571203,24,p2p-Gnutella04.txt,10876,39994
8,0.217374,0.0160346,0.00243878,0.197694,0.137881,0.0194039,0.00848484,0.0175011,0.00569057,26,p2p-Gnutella04.txt,10876,39994
8,0.283576,0.07865,0.00224853,0.196111,0.135963,0.0181584,0.0106964,0.017729,0.00541234,24,p2p-Gnutella04.txt,10876,39994
8,0.245834,0.0211287,0.00229096,0.199055,0.139046,0.0187654,0.00953388,0.0178001,0.00555015,23,p2p-Gnutella04.txt,10876,39994
8,0.238029,0.0251389,0.00236297,0.198261,0.138498,0.0182338,0.0101314,0.0178459,0.00548029,24,p2p-Gnutella04.txt,10876,39994
16,0.163824,0.0198483,0.00319004,0.136307,0.0855584,0.00527167,0.0153022,0.0183401,0.00323439,28,p2p-Gnutella04.txt,10876,39994
16,0.156547,0.0162797,0.00318456,0.134903,0.0846403,0.00522017,0.0152545,0.0178537,0.00326633,27,p2p-Gnutella04.txt,10876,39994
16,0.157058,0.0157557,0.00320077,0.13675,0.0854175,0.00511265,0.0160263,0.018796,0.00305843,29,p2p-Gnutella04.txt,10876,39994
16,0.15805,0.0165465,0.00316858,0.137189,0.0860076,0.00520611,0.0158319,0.0185831,0.00314617,22,p2p-Gnutella04.txt,10876,39994
16,0.159779,0.0169516,0.003227,0.1376,0.0859489,0.00525737,0.0156963,0.0190053,0.00319481,28,p2p-Gnutella04.txt,10876,39994
32,0.154829,0.0199342,0.00504255,0.126985,0.0639782,0.00167656,0.0279253,0.0233493,0.00181293,23,p2p-Gnutella04.txt,10876,39994
32,0.158305,0.0193837,0.00493264,0.126937,0.064621,0.00173616,0.0280879,0.0222411,0.00185037,26,p2p-Gnutella04.txt,10876,39994
32,0.159193,0.0170248,0.00512815,0.129358,0.0660067,0.00174928,0.0283229,0.0231879,0.00181103,27,p2p-Gnutella04.txt,10876,39994
32,0.159182,0.0216231,0.00510526,0.128832,0.0661297,0.00169206,0.0277426,0.023001,0.00176072,27,p2p-Gnutella04.txt,10876,39994
32,0.150994,0.0163267,0.00511456,0.129051,0.0648091,0.00167251,0.0286262,0.0236461,0.00181603,21,p2p-Gnutella04.txt,10876,39994
64,0.21766,0.0202742,0.0092659,0.187275,0.0739968,0.000789404,0.058141,0.0436397,0.00123692,30,p2p-Gnutella04.txt,10876,39994
64,0.221746,0.0182765,0.00902319,0.191576,0.0797093,0.000754833,0.0601616,0.0407317,0.00113964,22,p2p-Gnutella04.txt,10876,39994
64,0.213505,0.0183394,0.00918317,0.185111,0.0745904,0.000736237,0.06001,0.0395918,0.00115943,25,p2p-Gnutella04.txt,10876,39994
64,0.250752,0.0215333,0.0105619,0.182764,0.0740182,0.000787735,0.0577352,0.039695,0.0011127,23,p2p-Gnutella04.txt,10876,39994
64,0.226629,0.021364,0.00914907,0.192462,0.077904,0.000795364,0.0617387,0.0413735,0.00122428,31,p2p-Gnutella04.txt,10876,39994
1,1.02905,0.01018,0.000794411,1.01534,0.558036,0.425006,0.00074029,0.00383091,0.0197527,26,p2p-Gnutella08.txt,6301,20777
1,1.02598,0.0101871,0.000755548,1.01321,0.559301,0.42212,0.000661612,0.0036571,0.0197093,28,p2p-Gnutella08.txt,6301,20777
1,1.04281,0.00787997,0.000598431,1.03228,0.570307,0.428024,0.00086832,0.00415301,0.0205107,27,p2p-Gnutella08.txt,6301,20777
2,0.414904,0.00928473,0.00157881,0.402505,0.264067,0.107156,0.00485253,0.00997138,0.0100808,23,p2p-Gnutella08.txt,6301,20777
2,0.411271,0.00827312,0.00170684,0.399939,0.260361,0.107381,0.0052464,0.00952029,0.0105538,32,p2p-Gnutella08.txt,6301,20777
2,0.412802,0.00820947,0.00143409,0.401712,0.263041,0.106599,0.00537872,0.00920796,0.0107114,29,p2p-Gnutella08.txt,6301,20777
2,0.416581,0.00903201,0.00152135,0.404573,0.265427,0.107768,0.00462055,0.010011,0.010251,27,p2p-Gnutella08.txt,6301,20777
2,0.426134,0.0114133,0.00153804,0.4075,0.264858,0.108104,0.00600696,0.0115325,0.0102587,28,p2p-Gnutella08.txt,6301,20777
4,0.190068,0.0106065,0.00167823,0.174763,0.116583,0.0270615,0.00686741,0.012996,0.00537062,27,p2p-Gnutella08.txt,6301,20777
4,0.198871,0.00881481,0.00174594,0.183668,0.12477,0.0287919,0.00602984,0.0122085,0.00563645,32,p2p-Gnutella08.txt,6301,20777
4,0.198522,0.0105648,0.00165725,0.182992,0.122884,0.0273786,0.007375,0.0140591,0.0054245,25,p2p-Gnutella08.txt,6301,20777
4,0.199314,0.00826669,0.0016284,0.187963,0.126904,0.0273416,0.00725627,0.0151875,0.00539136,28,p2p-Gnutella08.txt,6301,20777
4,0.192317,0.00833082,0.00164819,0.181234,0.121093,0.029036,0.00622082,0.0129228,0.00556254,27,p2p-Gnutella08.txt,6301,20777
8,0.125912,0.00801349,0.00197816,0.112891,0.070797,0.00721741,0.0107119,0.0156004,0.00285673,23,p2p-Gnutella08.txt,6301,20777
8,0.125418,0.00929713,0.00206017,0.11287,0.0712385,0.00749683,0.0103681,0.0148909,0.00304317,25,p2p-Gnutella08.txt,6301,20777
8,0.130338,0.00850463,0.00189877,0.118218,0.0745838,0.00717902,0.0116649,0.0161991,0.00295305,32,p2p-Gnutella08.txt,6301,20777
8,0.129241,0.0102208,0.00201559,0.114945,0.0721462,0.00739217,0.0109649,0.015712,0.0029304,22,p2p-Gnutella08.txt,6301,20777
8,0.127483,0.00985718,0.00204492,0.114522,0.0713031,0.00737858,0.0113294,0.0158041,0.00296855,22,p2p-Gnutella08.txt,6301,20777
16,0.112222,0.00859928,0.00276375,0.100242,0.0530255,0.00233412,0.0191245,0.0182304,0.0016284,20,p2p-Gnutella08.txt,6301,20777
16,0.114934,0.00853848,0.00275278,0.103131,0.0546663,0.00230932,0.0199113,0.0188723,0.00159431,23,p2p-Gnutella08.txt,6301,20777
16,0.113946,0.00894332,0.00277376,0.100619,0.053431,0.00233555,0.019084,0.0183213,0.00164247,21,p2p-Gnutella08.txt,6301,20777
16,0.116621,0.00888324,0.00283289,0.103949,0.0552757,0.00228214,0.0199535,0.0192041,0.0016036,23,p2p-Gnutella08.txt,6301,20777
16,0.114085,0.00847125,0.00277448,0.102084,0.0535128,0.00227475,0.0199368,0.0190866,0.00166845,20,p2p-Gnutella08.txt,6301,20777
32,0.128652,0.0085721,0.00417995,0.115319,0.0501449,0.000967741,0.0325437,0.0248876,0.000961304,28,p2p-Gnutella08.txt,6301,20777
32,0.137142,0.00863743,0.00437331,0.123575,0.052201,0.0009408,0.0359657,0.0278251,0.000917912,21,p2p-Gnutella08.txt,6301,20777
32,0.134462,0.00863934,0.00431037,0.120958,0.0524209,0.000957251,0.0344815,0.0264785,0.000924826,25,p2p-Gnutella08.txt,6301,20777
32,0.136049,0.00871396,0.00424814,0.121991,0.0523927,0.000923634,0.0354288,0.0265508,0.000902414,24,p2p-Gnutella08.txt,6301,20777
32,0.133568,0.00880742,0.00438023,0.119694,0.0504429,0.000906467,0.0349782,0.0267851,0.000894308,22,p2p-Gnutella08.txt,6301,20777
64,0.233123,0.00998378,0.00787544,0.214527,0.0796444,0.00056386,0.0767043,0.0501721,0.000696898,29,p2p-Gnutella08.txt,6301,20777
64,0.223203,0.00951362,0.00779581,0.204897,0.0730226,0.00051403,0.07447,0.0498748,0.000642061,25,p2p-Gnutella08.txt,6301,20777
64,0.23842,0.00968647,0.00774312,0.220148,0.0761397,0.000484705,0.0810521,0.0555806,0.000596046,23,p2p-Gnutella08.txt,6301,20777
64,0.231201,0.0119901,0.00883746,0.208521,0.0744708,0.000598192,0.0756478,0.0507317,0.000632763,26,p2p-Gnutella08.txt,6301,20777
64,0.235665,0.00994301,0.011539,0.212318,0.0714676,0.000532389,0.0791104,0.0540116,0.000655174,23,p2p-Gnutella08.txt,6301,20777
1,1.68563,0.0105393,0.000902176,1.6718,0.923362,0.700673,0.000803709,0.00490832,0.0315959,34,p2p-Gnutella09.txt,8114,26013
